id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
1836,2020,-.60189062,.84893161,-.082335651,-.58964789,52.584049,58.417377,-.78545731,-1.2877383,-1.0960642,-1.2970001,1,.49789202,14.582573,-.011655807,2.9197989,48.946667,2.3018403,53.132866,48.999382,-11.16573,18.825993
1837,2017,-.76178515,-.34896898,.99511337,-.17539588,52.181141,63.427082,-1.004083,-1.7502712,-2.1990075,.87400001,1,.44482106,13.325287,-.012077332,16.67494,48.044285,9.4638023,59.912281,57.287994,-19.973989,18.988205
1837,2018,.69477504,.99511337,-.76178515,-1.602638,57.287994,55.439732,-.35175875,-.34896898,-1.004083,-.77999997,1,.44482106,13.325287,.018596649,-4.3286605,48.044285,-14.008929,55.853054,58.196194,16.67494,18.976128
1837,2019,.47809589,-.76178515,.69477504,-.00074747251,58.196194,51.538433,-.17539588,.99511337,-.35175875,-.086000003,1,.44482106,13.325287,.0011692047,-7.3393874,48.044285,10.362631,65.316856,63.427082,-4.3286605,18.994724
1837,2020,-1.0442791,.69477504,.47809589,.072624996,63.427082,60.922741,-1.602638,-.76178515,-.17539588,-1.3890001,1,.44482106,13.325287,-.022924423,1.5892136,48.044285,-1.123255,51.307926,55.439732,-7.3393874,18.995893
1838,2017,-1.7554864,-1.8036342,.38314945,-.72271782,49.542614,57.504566,-1.3828202,-1.0093777,-2.0327806,1.455,1,.48697838,13.108255,-.0083274841,-5.1505919,46.543335,7.7061334,56.798023,58.079948,-6.8695216,20.591782
1838,2018,-.47246769,.38314945,-1.7554864,-1.4943972,58.079948,48.112698,-1.1925894,-1.8036342,-1.3828202,-.15000001,1,.48697838,13.108255,.0097293854,6.1429186,46.543335,-11.590137,53.754726,51.043732,-5.1505919,20.583454
1838,2019,-.7039488,-1.7554864,-.47246769,-.70452631,51.043732,47.622883,-.72271782,.38314945,-1.1925894,.27700001,1,.48697838,13.108255,.014406204,-2.7826631,46.543335,9.1183786,61.460861,57.504566,6.1429186,20.593184
1838,2020,-1.5445499,-.47246769,-.7039488,-.74546158,57.504566,54.473103,-1.4943972,-1.7554864,-.72271782,-1.188,1,.48697838,13.108255,.0011959076,-3.5404577,46.543335,-2.4035606,49.870724,48.112698,-2.7826631,20.60759
1839,2017,.26372457,-2.5327909,-.45359385,.36285707,48.263783,56.220436,-4.1073046,.63612288,-1.8243316,.74900001,1,.4255597,12.99165,-.019855499,44.432461,37.035,5.6796675,49.417816,65.348351,.76474303,17.634516
1839,2018,1.6343515,-.45359385,.26372457,-1.1942598,65.348351,59.909878,-.38127911,-2.5327909,-4.1073046,-.824,1,.4255597,12.99165,.033842087,-57.516937,37.035,-6.9353781,57.16679,49.938202,44.432461,17.61466
1839,2019,-2.3192358,.26372457,1.6343515,-.2847527,49.938202,55.512737,.36285707,-.45359385,-.38127911,-.026000001,1,.4255597,12.99165,.01581192,10.529819,37.035,1.512468,62.846458,56.220436,-57.516937,17.648502
1839,2020,-.06573043,1.6343515,-2.3192358,-2.5182989,56.220436,45.223156,-1.1942598,.26372457,.36285707,-1.526,1,.4255597,12.99165,-.014894485,-24.265448,37.035,-9.8962307,55.911079,59.909878,10.529819,17.664314
1840,2017,-1.6283494,-2.1385481,-.78455484,-1.4470334,46.75367,49.247066,-2.2483692,.05488291,-2.7271788,1.765,1,.46180579,12.99165,-.01676178,-6.2462258,51.433334,11.682384,54.681252,62.187794,-3.7574461,18.784979
1840,2018,-1.8571349,-.78455484,-1.6283494,-1.7436597,62.187794,47.627354,-2.6424129,-2.1385481,-2.2483692,.117,1,.46180579,12.99165,.017887115,-.35529333,51.433334,-9.0001307,45.424156,44.181183,-6.2462258,18.768217
1840,2019,-.98357391,-1.6283494,-1.8571349,-3.0454276,44.181183,41.044533,-1.4470334,-.78455484,-2.6424129,.80699998,1,.46180579,12.99165,.013803482,2.8064535,51.433334,.9409548,57.106541,49.247066,-.35529333,18.786104
